ID Venta;Producto;Cantidad;Precio Unitario (USD);Fecha de Venta
1;Laptop HP;2;650.00;15/03/2024
2;iPhone 13;1;799.99;16/03/2024
3;Monitor Samsung;3;199.50;17/03/2024
4;Teclado Logitech;5;45.90;18/03/2024
5;Mouse Inalámbrico;10;22.50;19/03/2024
6;Impresora Epson;1;129.99;20/03/2024
7;SSD 500GB;4;59.99;21/03/2024
8;Auriculares Sony;2;89.90;22/03/2024
9;Tablet Amazon;3;149.00;23/03/2024
10;Router TP-Link;2;75.25;24/03/2024
11;Disco Duro 1TB;1;49.99;25/03/2024
12;Cargador USB-C;8;15.00;26/03/2024
13;Altavoz JBL;1;120.00;27/03/2024
14;Webcam HD;3;35.75;28/03/2024
15;Memoria USB 64GB;6;12.99;29/03/2024
16;MacBook Air;1;999.00;30/03/2024
17;Smartwatch Huawei;2;159.99;31/03/2024
18;Parlante Bluetooth;4;55.50;01/04/2024
19;Tarjeta Gráfica;1;299.99;02/04/2024
20;Cable HDMI;7;8.99;03/04/2024
21;Laptop Dell;2;720.00;04/04/2024
22;iPad 10ª Gen;1;349.00;05/04/2024
23;Teclado Mecánico;3;65.80;06/04/2024
24;Micrófono Blue;1;89.50;07/04/2024
25;Disco SSD 1TB;2;99.99;08/04/2024
26;Monitor LG;1;179.00;09/04/2024
27;Cámara Canon;1;450.00;10/04/2024
28;Batería Externa;5;25.50;11/04/2024
29;Google Pixel 7;1;599.00;12/04/2024
30;Silla Gamer;1;199.99;13/04/2024
